name,longitude,latitude
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-49.197235,-24.31316
Leptasthenura setaria,-51.171535,-27.563196
Leptasthenura setaria,-51.728344,-28.197609
Leptasthenura setaria,-49.457475,-27.8543
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-49.785336,-24.528185
Leptasthenura setaria,-50.701153,-24.320175
Leptasthenura setaria,-49.900803,-28.11333
Leptasthenura setaria,-44.979866,-23.058851
Leptasthenura setaria,-49.126377,-27.841124
Leptasthenura setaria,-44.592968,-22.664314
Leptasthenura setaria,-49.286407,-26.282742
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-55.00563,-27.543207
Leptasthenura setaria,-54.099197,-26.609623
Leptasthenura setaria,-44.76176,-22.77325
Leptasthenura setaria,-50.228325,-27.571234
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-49.45227,-28.039925
Leptasthenura setaria,-49.858955,-27.932262
Leptasthenura setaria,-44.660946,-22.016603
Leptasthenura setaria,-49.587757,-26.477318
Leptasthenura setaria,-50.996784,-23.722208
Leptasthenura setaria,-50.067017,-25.89588
Leptasthenura setaria,-52.568893,-26.462187
Leptasthenura setaria,-50.41079,-24.94845
Leptasthenura setaria,-44.946648,-22.386673
Leptasthenura setaria,-50.767063,-24.884167
Leptasthenura setaria,-50.332558,-27.059687
Leptasthenura setaria,-52.362442,-24.053396
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-52.198505,-28.474836
Leptasthenura setaria,-48.572556,-24.418833
Leptasthenura setaria,-51.494564,-26.814468
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-53.97773,-25.860962
Leptasthenura setaria,-51.434326,-25.437948
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-50.864525,-29.30354
Leptasthenura setaria,-51.057735,-29.053007
Leptasthenura setaria,-44.381374,-22.788445
Leptasthenura setaria,-54.612785,-26.405144
Leptasthenura setaria,-50.280952,-29.57888
Leptasthenura setaria,-50.136787,-24.86316
Leptasthenura setaria,-50.103005,-25.137753
Leptasthenura setaria,-51.1798,-26.078335
Leptasthenura setaria,-52.149517,-29.017445
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-52.021885,-26.216728
Leptasthenura setaria,-46.952362,-23.853685
Leptasthenura setaria,-52.18839,-28.293867
Leptasthenura setaria,-54.778744,-26.558989
Leptasthenura setaria,-50.18102,-29.218147
Leptasthenura setaria,-52.32392,-29.280106
Leptasthenura setaria,-49.376247,-26.551525
Leptasthenura setaria,-50.611286,-29.442862
Leptasthenura setaria,-51.571796,-29.149738
Leptasthenura setaria,-51.934807,-29.357698
Leptasthenura setaria,-48.583714,-24.604586
Leptasthenura setaria,-53.0045,-28.082994
Leptasthenura setaria,-50.385002,-25.866535
Leptasthenura setaria,-50.68534,-25.053677
Leptasthenura setaria,-50.675346,-25.576103
Leptasthenura setaria,-49.4043,-27.0845
Leptasthenura setaria,-46.03576,-22.92207
Leptasthenura setaria,-49.6739,-25.578392
Leptasthenura setaria,-50.926086,-29.545464
Leptasthenura setaria,-46.65146,-22.56811
Leptasthenura setaria,-49.719658,-24.26133
Leptasthenura setaria,-49.633396,-24.653044
Leptasthenura setaria,-51.04961,-26.279545
Leptasthenura setaria,-44.501472,-22.189941
Leptasthenura setaria,-52.494064,-28.932919
Leptasthenura setaria,-54.9255,-26.8546
Leptasthenura setaria,-48.80948,-25.098722
Leptasthenura setaria,-51.764473,-24.754688
Leptasthenura setaria,-50.197514,-28.267675
Leptasthenura setaria,-49.86852,-28.518099
Leptasthenura setaria,-45.67805,-22.784462
Leptasthenura setaria,-45.77882,-22.354553
Leptasthenura setaria,-51.84624,-26.106289
Leptasthenura setaria,-51.013065,-26.780613
Leptasthenura setaria,-52.780132,-28.296795
Leptasthenura setaria,-50.332767,-25.603874
Leptasthenura setaria,-48.992367,-26.02303
Leptasthenura setaria,-51.59902,-25.907717
Leptasthenura setaria,-50.654263,-26.01384
Leptasthenura setaria,-50.02166,-24.462927
Leptasthenura setaria,-51.95864,-26.50196
Leptasthenura setaria,-51.167873,-23.895836
Leptasthenura setaria,-45.17183,-22.332663
Leptasthenura setaria,-50.640827,-28.18296
Leptasthenura setaria,-49.496777,-25.402674
Leptasthenura setaria,-43.065884,-22.48801
Leptasthenura setaria,-49.535435,-26.297514
Leptasthenura setaria,-51.169632,-28.232058
Leptasthenura setaria,-53.285965,-26.304956
Leptasthenura setaria,-50.804974,-29.015919
Leptasthenura setaria,-53.128277,-26.490799
Leptasthenura setaria,-48.27367,-24.308775
Leptasthenura setaria,-51.27458,-28.556381
