name,longitude,latitude
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-51.171535,-27.563196
Leptasthenura setaria,-51.728344,-28.197609
Leptasthenura setaria,-51.597378,-25.91816
Leptasthenura setaria,-50.21143,-25.561188
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-49.87824,-28.132587
Leptasthenura setaria,-50.701153,-24.320175
Leptasthenura setaria,-54.12498,-26.637999
Leptasthenura setaria,-49.126377,-27.841124
Leptasthenura setaria,-49.286522,-25.27291
Leptasthenura setaria,-54.162315,-27.043718
Leptasthenura setaria,-50.46068,-28.173134
Leptasthenura setaria,-50.290108,-26.233564
Leptasthenura setaria,-50.42492,-24.91047
Leptasthenura setaria,-52.1733,-25.940033
Leptasthenura setaria,-49.950207,-27.791883
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-50.60438,-25.419828
Leptasthenura setaria,-51.08037,-29.518175
Leptasthenura setaria,-44.76176,-22.77325
Leptasthenura setaria,-55.051765,-27.477352
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-50.61302,-29.353014
Leptasthenura setaria,-51.90481,-28.223793
Leptasthenura setaria,-50.217205,-27.553482
Leptasthenura setaria,-54.79793,-26.728085
Leptasthenura setaria,-49.587757,-26.477318
Leptasthenura setaria,-47.08703,-23.792742
Leptasthenura setaria,-50.34635,-25.655779
Leptasthenura setaria,-51.49459,-26.637802
Leptasthenura setaria,-50.067017,-25.89588
Leptasthenura setaria,-44.816353,-23.142773
Leptasthenura setaria,-50.37838,-27.086054
Leptasthenura setaria,-50.882637,-29.384266
Leptasthenura setaria,-50.767063,-24.884167
Leptasthenura setaria,-52.362442,-24.053396
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-47.992966,-24.060232
Leptasthenura setaria,-52.198505,-28.474836
Leptasthenura setaria,-48.572556,-24.418833
Leptasthenura setaria,-51.494564,-26.814468
Leptasthenura setaria,-51.74649,-26.146784
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-49.147217,-24.2993
Leptasthenura setaria,-53.97773,-25.860962
Leptasthenura setaria,-51.434326,-25.437948
Leptasthenura setaria,-50.087643,-24.479649
Leptasthenura setaria,-44.965954,-23.078444
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-45.290146,-22.594315
Leptasthenura setaria,-49.54776,-28.001665
Leptasthenura setaria,-51.057735,-29.053007
Leptasthenura setaria,-45.89917,-22.691177
Leptasthenura setaria,-47.001114,-23.579636
Leptasthenura setaria,-50.50478,-29.553997
Leptasthenura setaria,-51.172077,-26.070435
Leptasthenura setaria,-53.74101,-26.059065
Leptasthenura setaria,-50.927074,-27.017185
Leptasthenura setaria,-51.99683,-26.553736
Leptasthenura setaria,-49.02293,-25.534042
Leptasthenura setaria,-52.29488,-26.05748
Leptasthenura setaria,-50.325256,-26.094849
Leptasthenura setaria,-50.136787,-24.86316
Leptasthenura setaria,-50.103005,-25.137753
Leptasthenura setaria,-50.63499,-26.022701
Leptasthenura setaria,-50.733116,-27.421259
Leptasthenura setaria,-44.724354,-22.201498
Leptasthenura setaria,-51.186714,-29.152376
Leptasthenura setaria,-45.68604,-22.887503
Leptasthenura setaria,-49.232204,-25.56056
Leptasthenura setaria,-52.149517,-29.017445
Leptasthenura setaria,-49.911774,-24.542648
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-52.021885,-26.216728
Leptasthenura setaria,-45.396538,-22.458519
Leptasthenura setaria,-46.952362,-23.853685
Leptasthenura setaria,-52.18839,-28.293867
Leptasthenura setaria,-54.778744,-26.558989
Leptasthenura setaria,-50.937798,-23.74018
Leptasthenura setaria,-50.876385,-28.983624
Leptasthenura setaria,-45.367912,-22.320774
