name,longitude,latitude
Leptasthenura setaria,-51.807888,-25.105652
Leptasthenura setaria,-49.197235,-24.31316
Leptasthenura setaria,-51.17723,-27.565262
Leptasthenura setaria,-51.728344,-28.197609
Leptasthenura setaria,-49.806454,-25.45521
Leptasthenura setaria,-53.788525,-26.015228
Leptasthenura setaria,-50.21143,-25.561188
Leptasthenura setaria,-51.13441,-28.81961
Leptasthenura setaria,-49.457475,-27.8543
Leptasthenura setaria,-52.198215,-25.482353
Leptasthenura setaria,-49.785336,-24.528185
Leptasthenura setaria,-49.89887,-28.111977
Leptasthenura setaria,-50.701153,-24.320175
Leptasthenura setaria,-52.315624,-24.102978
Leptasthenura setaria,-49.126377,-27.841124
Leptasthenura setaria,-49.286522,-25.27291
Leptasthenura setaria,-54.162315,-27.043718
Leptasthenura setaria,-50.46068,-28.173134
Leptasthenura setaria,-52.031147,-26.22401
Leptasthenura setaria,-49.286407,-26.282742
Leptasthenura setaria,-45.20191,-23.296982
Leptasthenura setaria,-49.950207,-27.791883
Leptasthenura setaria,-53.97369,-26.528093
Leptasthenura setaria,-53.897385,-26.627354
Leptasthenura setaria,-50.50345,-29.319885
Leptasthenura setaria,-49.89256,-26.173517
Leptasthenura setaria,-45.023266,-23.238897
Leptasthenura setaria,-52.019766,-26.351257
Leptasthenura setaria,-44.76176,-22.77325
Leptasthenura setaria,-55.051765,-27.477352
Leptasthenura setaria,-50.228325,-27.571234
Leptasthenura setaria,-52.63026,-29.328028
Leptasthenura setaria,-50.399124,-24.956633
Leptasthenura setaria,-50.61302,-29.353014
Leptasthenura setaria,-51.90481,-28.223793
Leptasthenura setaria,-49.639133,-26.598925
Leptasthenura setaria,-49.586205,-26.46707
Leptasthenura setaria,-54.79793,-26.728085
Leptasthenura setaria,-47.08703,-23.792742
Leptasthenura setaria,-51.49459,-26.637802
Leptasthenura setaria,-50.067017,-25.89588
Leptasthenura setaria,-54.853867,-27.030209
Leptasthenura setaria,-50.37838,-27.086054
Leptasthenura setaria,-50.634724,-26.023104
Leptasthenura setaria,-44.6149,-22.736116
Leptasthenura setaria,-50.767063,-24.884167
Leptasthenura setaria,-52.32045,-28.33935
Leptasthenura setaria,-44.282085,-22.170887
Leptasthenura setaria,-52.204456,-28.472166
Leptasthenura setaria,-48.572556,-24.418833
Leptasthenura setaria,-51.494564,-26.814468
Leptasthenura setaria,-49.058475,-25.56622
Leptasthenura setaria,-51.74649,-26.146784
Leptasthenura setaria,-53.959457,-25.859821
Leptasthenura setaria,-52.845478,-26.318752
Leptasthenura setaria,-51.096577,-26.224516
Leptasthenura setaria,-50.573296,-29.454477
Leptasthenura setaria,-45.59196,-22.917181
Leptasthenura setaria,-45.149174,-22.447842
Leptasthenura setaria,-50.94957,-29.568584
Leptasthenura setaria,-54.891506,-26.839685
Leptasthenura setaria,-44.965954,-23.078444
Leptasthenura setaria,-49.013687,-27.716604
Leptasthenura setaria,-50.571766,-25.034468
Leptasthenura setaria,-51.879272,-28.854403
Leptasthenura setaria,-50.26831,-25.888823
Leptasthenura setaria,-51.057735,-29.053007
Leptasthenura setaria,-45.873726,-22.818481
Leptasthenura setaria,-45.714832,-22.642946
Leptasthenura setaria,-47.001114,-23.579636
Leptasthenura setaria,-50.988914,-29.140884
Leptasthenura setaria,-51.23733,-29.112486
Leptasthenura setaria,-50.50478,-29.553997
Leptasthenura setaria,-47.887055,-24.105207
Leptasthenura setaria,-50.280952,-29.57888
Leptasthenura setaria,-50.927074,-27.017185
Leptasthenura setaria,-54.090076,-26.954567
Leptasthenura setaria,-52.29488,-26.05748
Leptasthenura setaria,-50.325256,-26.094849
Leptasthenura setaria,-50.136787,-24.86316
Leptasthenura setaria,-44.728428,-22.142672
Leptasthenura setaria,-54.69151,-26.411085
Leptasthenura setaria,-50.746914,-27.395897
Leptasthenura setaria,-54.124992,-26.627993
Leptasthenura setaria,-51.1798,-26.078335
Leptasthenura setaria,-49.911774,-24.542648
Leptasthenura setaria,-46.9523,-23.8533
Leptasthenura setaria,-48.846786,-24.247593
Leptasthenura setaria,-52.18839,-28.293867
Leptasthenura setaria,-54.778744,-26.558989
Leptasthenura setaria,-50.18102,-29.218147
Leptasthenura setaria,-52.32392,-29.280106
Leptasthenura setaria,-44.50759,-22.261822
Leptasthenura setaria,-49.376247,-26.551525
Leptasthenura setaria,-52.171272,-28.38431
Leptasthenura setaria,-44.711094,-22.456383
Leptasthenura setaria,-51.571796,-29.149738
Leptasthenura setaria,-51.934807,-29.357698
Leptasthenura setaria,-49.01513,-25.384825
Leptasthenura setaria,-48.583714,-24.604586
Leptasthenura setaria,-46.71906,-23.841234
Leptasthenura setaria,-49.21,-25.426186
Leptasthenura setaria,-51.047527,-29.50249
