"","ID","name","latitude","longitude","prov"
"91",207,"Leptasthenura setaria",-27.558115,-50.23048,"gbif"
"92",209,"Leptasthenura setaria",-22.659224,-45.854992,"gbif"
"93",213,"Leptasthenura setaria",-25.27291,-49.286522,"gbif"
"94",214,"Leptasthenura setaria",-27.043718,-54.162315,"gbif"
"95",215,"Leptasthenura setaria",-29.272572,-51.55852,"gbif"
"96",221,"Leptasthenura setaria",-22.664314,-44.592968,"gbif"
"97",223,"Leptasthenura setaria",-22.665842,-44.59375,"gbif"
"98",228,"Leptasthenura setaria",-25.3433,-49.219395,"gbif"
"99",230,"Leptasthenura setaria",-26.245375,-49.369537,"gbif"
"100",231,"Leptasthenura setaria",-28.173134,-50.46068,"gbif"
"101",232,"Leptasthenura setaria",-23.182808,-44.973316,"gbif"
"102",238,"Leptasthenura setaria",-26.22401,-52.031147,"gbif"
"103",239,"Leptasthenura setaria",-25.522033,-49.370393,"gbif"
"104",240,"Leptasthenura setaria",-25.289174,-49.173119,"gbif"
"105",242,"Leptasthenura setaria",-27.924501,-49.8566,"gbif"
"106",243,"Leptasthenura setaria",-27.951292,-49.93415,"gbif"
"107",247,"Leptasthenura setaria",-26.233564,-50.290108,"gbif"
"108",251,"Leptasthenura setaria",-26.282742,-49.286407,"gbif"
"109",253,"Leptasthenura setaria",-28.011583,-49.832825,"gbif"
"110",255,"Leptasthenura setaria",-22.684746,-45.65568,"gbif"
"111",259,"Leptasthenura setaria",-24.91047,-50.42492,"gbif"
"112",262,"Leptasthenura setaria",-27.957304,-49.931976,"gbif"
"113",265,"Leptasthenura setaria",-27.95543,-49.87676,"gbif"
"114",274,"Leptasthenura setaria",-26.536896,-51.606956,"gbif"
"115",276,"Leptasthenura setaria",-28.00556,-49.820198,"gbif"
"116",281,"Leptasthenura setaria",-26.245298,-49.36958,"gbif"
"117",284,"Leptasthenura setaria",-26.86841,-54.2171,"gbif"
"118",288,"Leptasthenura setaria",-23.296982,-45.20191,"gbif"
"119",290,"Leptasthenura setaria",-25.940033,-52.1733,"gbif"
"120",293,"Leptasthenura setaria",-27.791883,-49.950207,"gbif"
"121",294,"Leptasthenura setaria",-26.528093,-53.97369,"gbif"
"122",296,"Leptasthenura setaria",-26.627354,-53.897385,"gbif"
"123",297,"Leptasthenura setaria",-29.319885,-50.50345,"gbif"
"124",299,"Leptasthenura setaria",-26.173517,-49.89256,"gbif"
"125",303,"Leptasthenura setaria",-27.931288,-49.83331,"gbif"
"126",312,"Leptasthenura setaria",-25.419828,-50.60438,"gbif"
"127",315,"Leptasthenura setaria",-23.238897,-45.023266,"gbif"
"128",319,"Leptasthenura setaria",-25.424393,-50.59576,"gbif"
"129",337,"Leptasthenura setaria",-29.518175,-51.08037,"gbif"
"130",344,"Leptasthenura setaria",-26.351257,-52.019766,"gbif"
"131",345,"Leptasthenura setaria",-27.903427,-49.894414,"gbif"
"132",346,"Leptasthenura setaria",-27.543207,-55.00563,"gbif"
"133",347,"Leptasthenura setaria",-27.967873,-49.895054,"gbif"
"134",348,"Leptasthenura setaria",-22.700874,-45.587753,"gbif"
"135",350,"Leptasthenura setaria",-25.474195,-49.37952,"gbif"
"136",354,"Leptasthenura setaria",-26.609623,-54.099197,"gbif"
"137",355,"Leptasthenura setaria",-22.77325,-44.76176,"gbif"
"138",356,"Leptasthenura setaria",-29.453938,-50.520046,"gbif"
"139",358,"Leptasthenura setaria",-22.558086,-45.282764,"gbif"
"140",359,"Leptasthenura setaria",-27.477352,-55.051765,"gbif"
"141",363,"Leptasthenura setaria",-24.057072,-47.993073,"gbif"
"142",364,"Leptasthenura setaria",-27.571234,-50.228325,"gbif"
"143",366,"Leptasthenura setaria",-25.383707,-49.266407,"gbif"
"144",367,"Leptasthenura setaria",-26.07017,-51.17026,"gbif"
"145",370,"Leptasthenura setaria",-27.671846,-49.152214,"gbif"
"146",371,"Leptasthenura setaria",-26.566065,-49.66119,"gbif"
"147",373,"Leptasthenura setaria",-29.556591,-50.99939,"gbif"
"148",383,"Leptasthenura setaria",-26.617437,-49.64187,"gbif"
"149",389,"Leptasthenura setaria",-26.854715,-54.220245,"gbif"
"150",391,"Leptasthenura setaria",-29.328028,-52.63026,"gbif"
"151",392,"Leptasthenura setaria",-24.956633,-50.399124,"gbif"
"152",396,"Leptasthenura setaria",-26.58349,-49.63447,"gbif"
"153",398,"Leptasthenura setaria",-25.409676,-49.269325,"gbif"
"154",399,"Leptasthenura setaria",-29.389723,-50.39389,"gbif"
"155",404,"Leptasthenura setaria",-22.77668,-45.605568,"gbif"
"156",407,"Leptasthenura setaria",-29.353014,-50.61302,"gbif"
"157",413,"Leptasthenura setaria",-28.223793,-51.90481,"gbif"
"158",414,"Leptasthenura setaria",-26.483864,-49.58216,"gbif"
"159",416,"Leptasthenura setaria",-29.304724,-51.147106,"gbif"
"160",421,"Leptasthenura setaria",-25.355118,-49.466587,"gbif"
"161",423,"Leptasthenura setaria",-28.039925,-49.45227,"gbif"
"162",426,"Leptasthenura setaria",-26.598925,-49.639133,"gbif"
"163",430,"Leptasthenura setaria",-22.830917,-45.77329,"gbif"
"164",436,"Leptasthenura setaria",-27.953466,-49.895367,"gbif"
"165",439,"Leptasthenura setaria",-27.932262,-49.858955,"gbif"
"166",440,"Leptasthenura setaria",-27.559206,-50.225834,"gbif"
"167",441,"Leptasthenura setaria",-29.538898,-51.08074,"gbif"
"168",442,"Leptasthenura setaria",-27.553482,-50.217205,"gbif"
"169",446,"Leptasthenura setaria",-22.575508,-45.258194,"gbif"
"170",447,"Leptasthenura setaria",-26.46707,-49.586205,"gbif"
"171",448,"Leptasthenura setaria",-29.200512,-51.13011,"gbif"
"172",451,"Leptasthenura setaria",-26.728085,-54.79793,"gbif"
"173",454,"Leptasthenura setaria",-25.405142,-49.28684,"gbif"
"174",455,"Leptasthenura setaria",-22.016603,-44.660946,"gbif"
"175",458,"Leptasthenura setaria",-22.574852,-45.262306,"gbif"
"176",466,"Leptasthenura setaria",-25.426273,-49.308002,"gbif"
"177",469,"Leptasthenura setaria",-26.477318,-49.587757,"gbif"
"178",470,"Leptasthenura setaria",-26.57633,-49.669003,"gbif"
"179",473,"Leptasthenura setaria",-22.352962,-44.79607,"gbif"
"180",477,"Leptasthenura setaria",-23.722208,-50.996784,"gbif"
"181",478,"Leptasthenura setaria",-23.792742,-47.08703,"gbif"
"182",480,"Leptasthenura setaria",-25.62756,-50.329105,"gbif"
"183",481,"Leptasthenura setaria",-22.717943,-45.41422,"gbif"
"184",482,"Leptasthenura setaria",-25.655779,-50.34635,"gbif"
"185",483,"Leptasthenura setaria",-23.167177,-44.839886,"gbif"
"186",485,"Leptasthenura setaria",-26.637802,-51.49459,"gbif"
"187",493,"Leptasthenura setaria",-23.152863,-44.90073,"gbif"
"188",494,"Leptasthenura setaria",-25.89588,-50.067017,"gbif"
"189",498,"Leptasthenura setaria",-22.731178,-45.595875,"gbif"
"190",502,"Leptasthenura setaria",-26.462187,-52.568893,"gbif"
"191",503,"Leptasthenura setaria",-27.030209,-54.853867,"gbif"
"192",506,"Leptasthenura setaria",-23.142773,-44.816353,"gbif"
"193",508,"Leptasthenura setaria",-27.086054,-50.37838,"gbif"
"194",511,"Leptasthenura setaria",-25.445791,-51.46792,"gbif"
"195",512,"Leptasthenura setaria",-27.101997,-50.363827,"gbif"
"196",513,"Leptasthenura setaria",-24.94845,-50.41079,"gbif"
"197",514,"Leptasthenura setaria",-27.112291,-52.767628,"gbif"
"198",519,"Leptasthenura setaria",-26.022093,-50.635113,"gbif"
"199",521,"Leptasthenura setaria",-27.67118,-49.0947,"gbif"
"200",523,"Leptasthenura setaria",-25.439953,-49.818424,"gbif"
"201",525,"Leptasthenura setaria",-22.386673,-44.946648,"gbif"
"202",527,"Leptasthenura setaria",-29.384266,-50.882637,"gbif"
"203",531,"Leptasthenura setaria",-26.023104,-50.634724,"gbif"
"204",534,"Leptasthenura setaria",-22.723818,-45.57771,"gbif"
"205",541,"Leptasthenura setaria",-22.352066,-44.79502,"gbif"
"206",543,"Leptasthenura setaria",-22.736116,-44.6149,"gbif"
"207",544,"Leptasthenura setaria",-27.978527,-49.486237,"gbif"
"208",547,"Leptasthenura setaria",-25.81237,-54.503326,"gbif"
"209",548,"Leptasthenura setaria",-22.61571,-45.357586,"gbif"
"210",550,"Leptasthenura setaria",-25.36205,-49.260918,"gbif"
"211",551,"Leptasthenura setaria",-29.423658,-50.57849,"gbif"
"212",552,"Leptasthenura setaria",-24.884167,-50.767063,"gbif"
"213",557,"Leptasthenura setaria",-27.059687,-50.332558,"gbif"
"214",560,"Leptasthenura setaria",-25.620243,-50.32513,"gbif"
"215",567,"Leptasthenura setaria",-22.366205,-44.768005,"gbif"
"216",569,"Leptasthenura setaria",-25.47342,-49.66051,"gbif"
"217",573,"Leptasthenura setaria",-22.72296,-45.83528,"gbif"
"218",577,"Leptasthenura setaria",-22.695183,-45.504257,"gbif"
"219",578,"Leptasthenura setaria",-25.569972,-49.25334,"gbif"
"220",582,"Leptasthenura setaria",-23.1824,-44.975323,"gbif"
"221",587,"Leptasthenura setaria",-24.053396,-52.362442,"gbif"
"222",588,"Leptasthenura setaria",-28.33935,-52.32045,"gbif"
"223",589,"Leptasthenura setaria",-26.628687,-54.105633,"gbif"
"224",591,"Leptasthenura setaria",-25.506924,-49.92875,"gbif"
"225",595,"Leptasthenura setaria",-22.170887,-44.282085,"gbif"
"226",596,"Leptasthenura setaria",-24.060232,-47.992966,"gbif"
"227",601,"Leptasthenura setaria",-22.33,-44.73,"gbif"
"228",603,"Leptasthenura setaria",-23.579622,-47.001102,"gbif"
"229",609,"Leptasthenura setaria",-25.337227,-48.91355,"gbif"
"230",612,"Leptasthenura setaria",-28.461748,-52.201347,"gbif"
"231",616,"Leptasthenura setaria",-23.147602,-44.937965,"gbif"
"232",617,"Leptasthenura setaria",-26.635448,-54.110893,"gbif"
"233",623,"Leptasthenura setaria",-22.352402,-44.783394,"gbif"
"234",626,"Leptasthenura setaria",-27.928188,-49.854935,"gbif"
"235",629,"Leptasthenura setaria",-28.474836,-52.198505,"gbif"
"236",633,"Leptasthenura setaria",-28.472166,-52.204456,"gbif"
"237",640,"Leptasthenura setaria",-22.352013,-44.785957,"gbif"
"238",644,"Leptasthenura setaria",-25.442076,-49.24096,"gbif"
"239",645,"Leptasthenura setaria",-25.471853,-49.321236,"gbif"
"240",651,"Leptasthenura setaria",-22.761381,-45.583805,"gbif"
"241",652,"Leptasthenura setaria",-26.1955,-49.2576,"gbif"
"242",656,"Leptasthenura setaria",-22.73664,-45.59845,"gbif"
"243",664,"Leptasthenura setaria",-22.714874,-45.602272,"gbif"
"244",665,"Leptasthenura setaria",-26.225197,-49.236958,"gbif"
"245",668,"Leptasthenura setaria",-24.418833,-48.572556,"gbif"
"246",672,"Leptasthenura setaria",-26.814468,-51.494564,"gbif"
"247",673,"Leptasthenura setaria",-25.56622,-49.058475,"gbif"
"248",674,"Leptasthenura setaria",-22.74385,-45.63298,"gbif"
"249",675,"Leptasthenura setaria",-26.146784,-51.74649,"gbif"
"250",676,"Leptasthenura setaria",-25.859821,-53.959457,"gbif"
"251",681,"Leptasthenura setaria",-25.842625,-54.558464,"gbif"
"252",687,"Leptasthenura setaria",-26.318752,-52.845478,"gbif"
"253",702,"Leptasthenura setaria",-23.157597,-44.923546,"gbif"
"254",703,"Leptasthenura setaria",-22.73175,-45.61964,"gbif"
"255",709,"Leptasthenura setaria",-24.2993,-49.147217,"gbif"
"256",712,"Leptasthenura setaria",-25.860962,-53.97773,"gbif"
"257",720,"Leptasthenura setaria",-24.233946,-48.278988,"gbif"
"258",721,"Leptasthenura setaria",-22.731236,-45.59698,"gbif"
"259",728,"Leptasthenura setaria",-22.722134,-45.609085,"gbif"
"260",730,"Leptasthenura setaria",-27.790737,-50.346844,"gbif"
"261",744,"Leptasthenura setaria",-25.437948,-51.434326,"gbif"
"262",745,"Leptasthenura setaria",-25.421814,-49.8194,"gbif"
"263",749,"Leptasthenura setaria",-25.31904,-49.291283,"gbif"
"264",754,"Leptasthenura setaria",-24.136728,-47.977295,"gbif"
"265",755,"Leptasthenura setaria",-22.761349,-45.6212,"gbif"
"266",758,"Leptasthenura setaria",-26.224516,-51.096577,"gbif"
"267",760,"Leptasthenura setaria",-22.876017,-46.029797,"gbif"
"268",763,"Leptasthenura setaria",-22.735586,-45.598396,"gbif"
"269",766,"Leptasthenura setaria",-29.454477,-50.573296,"gbif"
"270",768,"Leptasthenura setaria",-22.917181,-45.59196,"gbif"
"271",771,"Leptasthenura setaria",-28.478035,-52.20237,"gbif"
"272",772,"Leptasthenura setaria",-26.340471,-52.082188,"gbif"
"273",775,"Leptasthenura setaria",-23.130415,-44.90377,"gbif"
"274",776,"Leptasthenura setaria",-22.707119,-45.46667,"gbif"
"275",777,"Leptasthenura setaria",-22.447842,-45.149174,"gbif"
"276",779,"Leptasthenura setaria",-29.568584,-50.94957,"gbif"
"277",780,"Leptasthenura setaria",-27.670708,-49.094692,"gbif"
"278",783,"Leptasthenura setaria",-22.671942,-45.4622,"gbif"
"279",785,"Leptasthenura setaria",-26.839685,-54.891506,"gbif"
"280",788,"Leptasthenura setaria",-24.479649,-50.087643,"gbif"
"281",789,"Leptasthenura setaria",-29.481018,-50.174915,"gbif"
"282",790,"Leptasthenura setaria",-26.547638,-51.765633,"gbif"
"283",792,"Leptasthenura setaria",-23.078444,-44.965954,"gbif"
"284",795,"Leptasthenura setaria",-22.63023,-45.39741,"gbif"
"285",796,"Leptasthenura setaria",-25.489523,-49.26117,"gbif"
"286",803,"Leptasthenura setaria",-26.534756,-49.579803,"gbif"
"287",822,"Leptasthenura setaria",-26.1535,-51.743744,"gbif"
"288",825,"Leptasthenura setaria",-22.375328,-44.760864,"gbif"
"289",827,"Leptasthenura setaria",-25.457598,-49.64317,"gbif"
"290",842,"Leptasthenura setaria",-27.716604,-49.013687,"gbif"
"291",845,"Leptasthenura setaria",-25.034468,-50.571766,"gbif"
"292",847,"Leptasthenura setaria",-22.261608,-44.507496,"gbif"
"293",848,"Leptasthenura setaria",-28.854403,-51.879272,"gbif"
"294",850,"Leptasthenura setaria",-25.888823,-50.26831,"gbif"
"295",851,"Leptasthenura setaria",-22.594315,-45.290146,"gbif"
"296",859,"Leptasthenura setaria",-25.053223,-50.555264,"gbif"
"297",867,"Leptasthenura setaria",-28.001665,-49.54776,"gbif"
"298",868,"Leptasthenura setaria",-25.312166,-49.126232,"gbif"
"299",869,"Leptasthenura setaria",-23.16831,-44.962765,"gbif"
"300",872,"Leptasthenura setaria",-22.725801,-45.814663,"gbif"
"301",873,"Leptasthenura setaria",-25.428102,-49.089844,"gbif"
"302",875,"Leptasthenura setaria",-29.0425,-51.075554,"gbif"
"303",876,"Leptasthenura setaria",-29.2342,-51.537373,"gbif"
"304",881,"Leptasthenura setaria",-26.524498,-51.851185,"gbif"
"305",883,"Leptasthenura setaria",-29.30354,-50.864525,"gbif"
"306",885,"Leptasthenura setaria",-23.18225,-44.97442,"gbif"
"307",889,"Leptasthenura setaria",-29.19483,-51.088676,"gbif"
"308",892,"Leptasthenura setaria",-23.36312,-45.138645,"gbif"
"309",896,"Leptasthenura setaria",-29.053007,-51.057735,"gbif"
"310",903,"Leptasthenura setaria",-22.818481,-45.873726,"gbif"
"311",908,"Leptasthenura setaria",-29.140491,-51.159893,"gbif"
"312",915,"Leptasthenura setaria",-28.044815,-49.43527,"gbif"
"313",920,"Leptasthenura setaria",-25.566875,-49.21404,"gbif"
"314",921,"Leptasthenura setaria",-23.182796,-44.973377,"gbif"
"315",922,"Leptasthenura setaria",-29.365347,-50.866467,"gbif"
"316",923,"Leptasthenura setaria",-22.642946,-45.714832,"gbif"
"317",924,"Leptasthenura setaria",-26.529127,-53.966824,"gbif"
"318",926,"Leptasthenura setaria",-28.09934,-49.943398,"gbif"
"319",930,"Leptasthenura setaria",-23.18341,-44.972412,"gbif"
"320",931,"Leptasthenura setaria",-22.70485,-45.879536,"gbif"
"321",935,"Leptasthenura setaria",-29.144,-51.153736,"gbif"
"322",940,"Leptasthenura setaria",-27.026136,-51.54262,"gbif"
"323",951,"Leptasthenura setaria",-22.788445,-44.381374,"gbif"
"324",955,"Leptasthenura setaria",-24.038206,-48.01067,"gbif"
"325",962,"Leptasthenura setaria",-26.633015,-54.095646,"gbif"
"326",968,"Leptasthenura setaria",-26.64835,-54.103683,"gbif"
"327",969,"Leptasthenura setaria",-26.512747,-51.986317,"gbif"
"328",971,"Leptasthenura setaria",-22.688992,-45.541553,"gbif"
"329",974,"Leptasthenura setaria",-25.481241,-49.20715,"gbif"
"330",976,"Leptasthenura setaria",-25.389277,-49.23041,"gbif"
"331",977,"Leptasthenura setaria",-24.27439,-48.41557,"gbif"
"332",983,"Leptasthenura setaria",-22.691177,-45.89917,"gbif"
"333",984,"Leptasthenura setaria",-26.622038,-54.10404,"gbif"
"334",987,"Leptasthenura setaria",-23.579636,-47.001114,"gbif"
"335",989,"Leptasthenura setaria",-26.157963,-51.8618,"gbif"
"336",993,"Leptasthenura setaria",-22.70935,-45.59885,"gbif"
"337",996,"Leptasthenura setaria",-29.140884,-50.988914,"gbif"
"338",997,"Leptasthenura setaria",-29.112486,-51.23733,"gbif"
"339",999,"Leptasthenura setaria",-26.405144,-54.612785,"gbif"
"340",1002,"Leptasthenura setaria",-29.553997,-50.50478,"gbif"
"341",1007,"Leptasthenura setaria",-24.105207,-47.887055,"gbif"
"342",1008,"Leptasthenura setaria",-29.363897,-50.812305,"gbif"
"343",1013,"Leptasthenura setaria",-25.433931,-49.257072,"gbif"
"344",1014,"Leptasthenura setaria",-22.728447,-45.610085,"gbif"
"345",1015,"Leptasthenura setaria",-26.070435,-51.172077,"gbif"
"346",1016,"Leptasthenura setaria",-27.992367,-49.330784,"gbif"
"347",1018,"Leptasthenura setaria",-29.57888,-50.280952,"gbif"
"348",1019,"Leptasthenura setaria",-28.061653,-49.56459,"gbif"
"349",1020,"Leptasthenura setaria",-28.042599,-49.478104,"gbif"
"350",1021,"Leptasthenura setaria",-25.339605,-49.208725,"gbif"
"351",1022,"Leptasthenura setaria",-26.059065,-53.74101,"gbif"
"352",1023,"Leptasthenura setaria",-27.974827,-49.48841,"gbif"
"353",1024,"Leptasthenura setaria",-28.06352,-49.500854,"gbif"
"354",1026,"Leptasthenura setaria",-28.065458,-49.544434,"gbif"
"355",1028,"Leptasthenura setaria",-27.017185,-50.927074,"gbif"
"356",1034,"Leptasthenura setaria",-22.689465,-45.54157,"gbif"
"357",1040,"Leptasthenura setaria",-29.361233,-50.818962,"gbif"
"358",1041,"Leptasthenura setaria",-26.553736,-51.99683,"gbif"
"359",1044,"Leptasthenura setaria",-29.493727,-50.573704,"gbif"
"360",1046,"Leptasthenura setaria",-25.442234,-49.247753,"gbif"
"361",1047,"Leptasthenura setaria",-29.158955,-51.20669,"gbif"
"362",1050,"Leptasthenura setaria",-22.541662,-45.179165,"gbif"
"363",1053,"Leptasthenura setaria",-25.339489,-49.208748,"gbif"
"364",1054,"Leptasthenura setaria",-28.048382,-49.617348,"gbif"
"365",1056,"Leptasthenura setaria",-26.954567,-54.090076,"gbif"
"366",1058,"Leptasthenura setaria",-22.712458,-45.56747,"gbif"
"367",1060,"Leptasthenura setaria",-25.391382,-49.27763,"gbif"
"368",1061,"Leptasthenura setaria",-27.950357,-49.44685,"gbif"
"369",1062,"Leptasthenura setaria",-25.534042,-49.02293,"gbif"
"370",1064,"Leptasthenura setaria",-22.437672,-44.612232,"gbif"
"371",1067,"Leptasthenura setaria",-26.05748,-52.29488,"gbif"
"372",1070,"Leptasthenura setaria",-26.094849,-50.325256,"gbif"
"373",1073,"Leptasthenura setaria",-24.86316,-50.136787,"gbif"
"374",1077,"Leptasthenura setaria",-24.21524,-48.410725,"gbif"
"375",1081,"Leptasthenura setaria",-25.533451,-49.022606,"gbif"
"376",1086,"Leptasthenura setaria",-29.160738,-51.20875,"gbif"
"377",1096,"Leptasthenura setaria",-25.137753,-50.103005,"gbif"
"378",1099,"Leptasthenura setaria",-23.15492,-44.857323,"gbif"
"379",1100,"Leptasthenura setaria",-22.142672,-44.728428,"gbif"
"380",1103,"Leptasthenura setaria",-26.022701,-50.63499,"gbif"
"381",1105,"Leptasthenura setaria",-27.421259,-50.733116,"gbif"
"382",1106,"Leptasthenura setaria",-22.355711,-44.7359,"gbif"
"383",1108,"Leptasthenura setaria",-25.610239,-50.321915,"gbif"
"384",1110,"Leptasthenura setaria",-22.201498,-44.724354,"gbif"
"385",1114,"Leptasthenura setaria",-26.411085,-54.69151,"gbif"
"386",1122,"Leptasthenura setaria",-27.395897,-50.746914,"gbif"
"387",1124,"Leptasthenura setaria",-22.760546,-45.61232,"gbif"
"388",1125,"Leptasthenura setaria",-29.152376,-51.186714,"gbif"
"389",1128,"Leptasthenura setaria",-26.014704,-50.65501,"gbif"
"390",1132,"Leptasthenura setaria",-26.627993,-54.124992,"gbif"
"391",1148,"Leptasthenura setaria",-22.657484,-45.651512,"gbif"
"392",1154,"Leptasthenura setaria",-22.418892,-45.1579,"gbif"
"393",1155,"Leptasthenura setaria",-27.497814,-50.875195,"gbif"
