"","ID","name","latitude","longitude","prov"
"71",71,"Leptasthenura setaria (Temminck, 1824)",-22.703138,-45.47843,"gbif"
"72",72,"Leptasthenura setaria (Temminck, 1824)",-28.197609,-51.728344,"gbif"
"73",73,"Leptasthenura setaria (Temminck, 1824)",-23.155016,-44.92196,"gbif"
"74",74,"Leptasthenura setaria (Temminck, 1824)",-26.015228,-53.788525,"gbif"
"75",75,"Leptasthenura setaria (Temminck, 1824)",-29.05814,-50.140476,"gbif"
"76",76,"Leptasthenura setaria (Temminck, 1824)",-24.298813,-49.136868,"gbif"
"77",77,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"78",78,"Leptasthenura setaria (Temminck, 1824)",-22.45377,-45.389397,"gbif"
"79",79,"Leptasthenura setaria (Temminck, 1824)",-25.45521,-49.806454,"gbif"
"80",80,"Leptasthenura setaria (Temminck, 1824)",-22.811949,-45.64888,"gbif"
"81",81,"Leptasthenura setaria (Temminck, 1824)",-24.31316,-49.197235,"gbif"
"82",82,"Leptasthenura setaria (Temminck, 1824)",-24.362038,-49.60817,"gbif"
"83",83,"Leptasthenura setaria (Temminck, 1824)",-22.72287,-45.607155,"gbif"
"84",84,"Leptasthenura setaria (Temminck, 1824)",-22.325617,-44.575264,"gbif"
"85",85,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"86",86,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"87",87,"Leptasthenura setaria (Temminck, 1824)",-22.703138,-45.47843,"gbif"
"88",88,"Leptasthenura setaria (Temminck, 1824)",-29.458334,-50.581112,"gbif"
"89",89,"Leptasthenura setaria (Temminck, 1824)",-29.139172,-51.157074,"gbif"
"90",90,"Leptasthenura setaria (Temminck, 1824)",-26.645142,-49.356976,"gbif"
"91",91,"Leptasthenura setaria (Temminck, 1824)",-25.904398,-51.598354,"gbif"
"92",92,"Leptasthenura setaria (Temminck, 1824)",-22.6797,-45.642,"gbif"
"93",93,"Leptasthenura setaria (Temminck, 1824)",-22.811949,-45.64888,"gbif"
"94",94,"Leptasthenura setaria (Temminck, 1824)",-29.05814,-50.140476,"gbif"
"95",95,"Leptasthenura setaria (Temminck, 1824)",-22.691557,-45.50286,"gbif"
"96",96,"Leptasthenura setaria (Temminck, 1824)",-26.520718,-53.981667,"gbif"
"97",97,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"98",98,"Leptasthenura setaria (Temminck, 1824)",-22.36484,-44.724613,"gbif"
"99",99,"Leptasthenura setaria (Temminck, 1824)",-27.552824,-51.206955,"gbif"
"100",100,"Leptasthenura setaria (Temminck, 1824)",-29.458334,-50.581112,"gbif"
"101",101,"Leptasthenura setaria (Temminck, 1824)",-25.904398,-51.598354,"gbif"
"102",102,"Leptasthenura setaria (Temminck, 1824)",-25.561188,-50.21143,"gbif"
"103",103,"Leptasthenura setaria (Temminck, 1824)",-25.904398,-51.598354,"gbif"
"104",104,"Leptasthenura setaria (Temminck, 1824)",-23.78558,-46.940247,"gbif"
"105",105,"Leptasthenura setaria (Temminck, 1824)",-28.340153,-49.625885,"gbif"
"106",106,"Leptasthenura setaria (Temminck, 1824)",-29.05814,-50.140476,"gbif"
"107",107,"Leptasthenura setaria (Temminck, 1824)",-28.81961,-51.13441,"gbif"
"108",108,"Leptasthenura setaria (Temminck, 1824)",-29.159657,-50.078945,"gbif"
"109",109,"Leptasthenura setaria (Temminck, 1824)",-22.759525,-45.550858,"gbif"
"110",110,"Leptasthenura setaria (Temminck, 1824)",-22.73724,-45.58983,"gbif"
"111",111,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"112",112,"Leptasthenura setaria (Temminck, 1824)",-25.371908,-49.291664,"gbif"
"113",113,"Leptasthenura setaria (Temminck, 1824)",-27.552454,-51.21004,"gbif"
"114",114,"Leptasthenura setaria (Temminck, 1824)",-27.563196,-51.171535,"gbif"
"115",115,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"116",116,"Leptasthenura setaria (Temminck, 1824)",-22.543377,-45.216755,"gbif"
"117",117,"Leptasthenura setaria (Temminck, 1824)",-26.621387,-54.10459,"gbif"
"118",118,"Leptasthenura setaria (Temminck, 1824)",-22.689444,-45.481945,"gbif"
"119",119,"Leptasthenura setaria (Temminck, 1824)",-27.8543,-49.457475,"gbif"
"120",120,"Leptasthenura setaria (Temminck, 1824)",-25.099901,-48.811634,"gbif"
"121",121,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"122",122,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"123",123,"Leptasthenura setaria (Temminck, 1824)",-25.45521,-49.806454,"gbif"
"124",124,"Leptasthenura setaria (Temminck, 1824)",-22.373522,-44.756813,"gbif"
"125",125,"Leptasthenura setaria (Temminck, 1824)",-22.373522,-44.756813,"gbif"
"126",126,"Leptasthenura setaria (Temminck, 1824)",-26.628918,-54.100838,"gbif"
"127",127,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"128",128,"Leptasthenura setaria (Temminck, 1824)",-25.482353,-52.198215,"gbif"
"129",129,"Leptasthenura setaria (Temminck, 1824)",-22.334635,-44.538723,"gbif"
"130",130,"Leptasthenura setaria (Temminck, 1824)",-22.693571,-45.490643,"gbif"
"131",131,"Leptasthenura setaria (Temminck, 1824)",-29.556591,-50.99939,"gbif"
"132",132,"Leptasthenura setaria (Temminck, 1824)",-22.36607,-44.746155,"gbif"
"133",133,"Leptasthenura setaria (Temminck, 1824)",-29.313206,-50.85219,"gbif"
"134",134,"Leptasthenura setaria (Temminck, 1824)",-25.45521,-49.806454,"gbif"
"135",135,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"136",136,"Leptasthenura setaria (Temminck, 1824)",-29.132784,-51.202457,"gbif"
"137",137,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"138",138,"Leptasthenura setaria (Temminck, 1824)",-24.528185,-49.785336,"gbif"
"139",139,"Leptasthenura setaria (Temminck, 1824)",-28.111977,-49.89887,"gbif"
"140",140,"Leptasthenura setaria (Temminck, 1824)",-26.639969,-54.126266,"gbif"
"141",141,"Leptasthenura setaria (Temminck, 1824)",-28.132587,-49.87824,"gbif"
"142",142,"Leptasthenura setaria (Temminck, 1824)",-26.015228,-53.788525,"gbif"
"143",143,"Leptasthenura setaria (Temminck, 1824)",-28.110588,-49.897114,"gbif"
"144",144,"Leptasthenura setaria (Temminck, 1824)",-28.110588,-49.897114,"gbif"
"145",145,"Leptasthenura setaria (Temminck, 1824)",-28.117107,-49.901657,"gbif"
"146",146,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"147",147,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"148",148,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"149",149,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"150",150,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"151",151,"Leptasthenura setaria (Temminck, 1824)",-26.607191,-54.078655,"gbif"
"152",152,"Leptasthenura setaria (Temminck, 1824)",-26.520718,-53.981667,"gbif"
"153",153,"Leptasthenura setaria (Temminck, 1824)",-24.320175,-50.701153,"gbif"
"154",154,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"155",155,"Leptasthenura setaria (Temminck, 1824)",-25.436943,-49.219765,"gbif"
"156",156,"Leptasthenura setaria (Temminck, 1824)",-28.11333,-49.900803,"gbif"
"157",157,"Leptasthenura setaria (Temminck, 1824)",-22.36607,-44.746155,"gbif"
"158",158,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"159",159,"Leptasthenura setaria (Temminck, 1824)",-26.015228,-53.788525,"gbif"
"160",160,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"161",161,"Leptasthenura setaria (Temminck, 1824)",-26.607191,-54.078655,"gbif"
"162",162,"Leptasthenura setaria (Temminck, 1824)",-23.156645,-44.92479,"gbif"
"163",163,"Leptasthenura setaria (Temminck, 1824)",-25.45521,-49.806454,"gbif"
"164",164,"Leptasthenura setaria (Temminck, 1824)",-22.36607,-44.746155,"gbif"
"165",165,"Leptasthenura setaria (Temminck, 1824)",-26.637999,-54.12498,"gbif"
"166",166,"Leptasthenura setaria (Temminck, 1824)",-22.693571,-45.490643,"gbif"
"167",167,"Leptasthenura setaria (Temminck, 1824)",-26.628918,-54.100838,"gbif"
"168",168,"Leptasthenura setaria (Temminck, 1824)",-22.36607,-44.746155,"gbif"
"169",169,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"170",170,"Leptasthenura setaria (Temminck, 1824)",-26.607634,-54.073753,"gbif"
"171",171,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"172",172,"Leptasthenura setaria (Temminck, 1824)",-29.132784,-51.202457,"gbif"
"173",173,"Leptasthenura setaria (Temminck, 1824)",-23.058851,-44.979866,"gbif"
"174",174,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"175",175,"Leptasthenura setaria (Temminck, 1824)",-28.117107,-49.901657,"gbif"
"176",176,"Leptasthenura setaria (Temminck, 1824)",-25.099901,-48.811634,"gbif"
"177",177,"Leptasthenura setaria (Temminck, 1824)",-26.607634,-54.073753,"gbif"
"178",178,"Leptasthenura setaria (Temminck, 1824)",-22.693571,-45.490643,"gbif"
"179",179,"Leptasthenura setaria (Temminck, 1824)",-26.520718,-53.981667,"gbif"
"180",180,"Leptasthenura setaria (Temminck, 1824)",-29.132784,-51.202457,"gbif"
"181",181,"Leptasthenura setaria (Temminck, 1824)",-24.320175,-50.701153,"gbif"
"182",182,"Leptasthenura setaria (Temminck, 1824)",-22.689444,-45.481945,"gbif"
"183",183,"Leptasthenura setaria (Temminck, 1824)",-23.058851,-44.979866,"gbif"
"184",184,"Leptasthenura setaria (Temminck, 1824)",-24.102978,-52.315624,"gbif"
"185",185,"Leptasthenura setaria (Temminck, 1824)",-24.26784,-48.40946,"gbif"
"186",186,"Leptasthenura setaria (Temminck, 1824)",-26.62862,-54.124992,"gbif"
"187",187,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"188",188,"Leptasthenura setaria (Temminck, 1824)",-25.561188,-50.21143,"gbif"
"189",189,"Leptasthenura setaria (Temminck, 1824)",-25.561188,-50.21143,"gbif"
"190",190,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"191",191,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"192",192,"Leptasthenura setaria (Temminck, 1824)",-27.841124,-49.126377,"gbif"
"193",193,"Leptasthenura setaria (Temminck, 1824)",-25.402372,-49.30423,"gbif"
"194",194,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"195",195,"Leptasthenura setaria (Temminck, 1824)",-26.62862,-54.124992,"gbif"
"196",196,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"197",197,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"198",198,"Leptasthenura setaria (Temminck, 1824)",-26.607634,-54.073753,"gbif"
"199",199,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"200",200,"Leptasthenura setaria (Temminck, 1824)",-26.245352,-49.369514,"gbif"
"201",201,"Leptasthenura setaria (Temminck, 1824)",-25.378326,-49.284336,"gbif"
"202",202,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"203",203,"Leptasthenura setaria (Temminck, 1824)",-28.291113,-50.653904,"gbif"
"204",204,"Leptasthenura setaria (Temminck, 1824)",-23.155016,-44.92196,"gbif"
"205",205,"Leptasthenura setaria (Temminck, 1824)",-22.720968,-45.57992,"gbif"
"206",206,"Leptasthenura setaria (Temminck, 1824)",-22.731205,-45.5957,"gbif"
"207",207,"Leptasthenura setaria (Temminck, 1824)",-27.558115,-50.23048,"gbif"
"208",208,"Leptasthenura setaria (Temminck, 1824)",-26.624443,-54.10814,"gbif"
"209",209,"Leptasthenura setaria (Temminck, 1824)",-22.659224,-45.854992,"gbif"
"210",210,"Leptasthenura setaria (Temminck, 1824)",-26.632334,-54.102165,"gbif"
"211",211,"Leptasthenura setaria (Temminck, 1824)",-23.155016,-44.92196,"gbif"
